logging to data/NCC_original_sampling_r_N5-10_T1.0_eps0.01_2026-03-10_23-03-10.log
[2026-03-10 23:03:10] starting N=5 T=1.0 eps=0.01
[repeat 4/10] eval r=38: sample_error=1.019850e-02, bias=1.029077e-03, fluct=1.006572e-02
[repeat 4/10] eval r=39: sample_error=8.853949e-03, bias=9.513592e-04, fluct=8.759365e-03
[repeat 4/10] eval r=24: sample_error=2.029966e-02, bias=4.158628e-03, fluct=2.018231e-02
[repeat 4/10] eval r=20: sample_error=3.117891e-02, bias=7.281246e-03, fluct=3.006222e-02
[repeat 4/10] eval r=18: sample_error=3.764414e-02, bias=1.008932e-02, fluct=3.696849e-02
[repeat 4/10] eval r=19: sample_error=3.115652e-02, bias=8.532067e-03, fluct=3.078999e-02
[repeat 4/10] sampled_r_min=39, expected_r_min=19, current mean=37.250, 95% CI=[36.017, 38.483]
[repeat 5/10] eval r=1: sample_error=4.978322e+01, bias=4.817370e+01, fluct=1.491693e+01
[repeat 5/10] eval r=2: sample_error=6.089876e+01, bias=3.707258e+01, fluct=5.616898e+01
[repeat 5/10] eval r=4: sample_error=3.623002e+01, bias=2.484392e+00, fluct=3.593905e+01
[repeat 5/10] eval r=8: sample_error=5.318108e-01, bias=1.422313e-01, fluct=5.177008e-01
[repeat 5/10] eval r=16: sample_error=4.524160e-02, bias=1.456939e-02, fluct=4.422504e-02
[repeat 5/10] eval r=32: sample_error=1.090763e-02, bias=1.731661e-03, fluct=1.079741e-02
[repeat 5/10] eval r=64: sample_error=4.275970e-03, bias=2.137664e-04, fluct=4.279756e-03
[repeat 5/10] eval r=48: sample_error=6.857959e-03, bias=5.083440e-04, fluct=6.805447e-03
[repeat 5/10] eval r=40: sample_error=8.578346e-03, bias=8.812868e-04, fluct=8.593568e-03
[repeat 5/10] eval r=36: sample_error=9.323361e-03, bias=1.211935e-03, fluct=9.258645e-03
[repeat 5/10] eval r=34: sample_error=9.856678e-03, bias=1.440939e-03, fluct=9.670956e-03
[repeat 5/10] eval r=33: sample_error=1.306953e-02, bias=1.577382e-03, fluct=1.310345e-02
[repeat 5/10] eval r=24: sample_error=2.099658e-02, bias=4.158628e-03, fluct=2.034091e-02
[repeat 5/10] eval r=20: sample_error=2.897364e-02, bias=7.281246e-03, fluct=2.874615e-02
[repeat 5/10] eval r=18: sample_error=3.267514e-02, bias=1.008932e-02, fluct=3.244106e-02
[repeat 5/10] eval r=19: sample_error=3.026041e-02, bias=8.532067e-03, fluct=3.001890e-02
[repeat 5/10] sampled_r_min=34, expected_r_min=19, current mean=36.600, 95% CI=[35.008, 38.192]
[repeat 6/10] eval r=1: sample_error=4.803427e+01, bias=4.817370e+01, fluct=1.070784e+01
[repeat 6/10] eval r=2: sample_error=6.081749e+01, bias=3.707258e+01, fluct=5.979343e+01
[repeat 6/10] eval r=4: sample_error=3.865280e+01, bias=2.484392e+00, fluct=3.855226e+01
[repeat 6/10] eval r=8: sample_error=5.729500e-01, bias=1.422313e-01, fluct=5.487494e-01
[repeat 6/10] eval r=16: sample_error=3.906173e-02, bias=1.456939e-02, fluct=3.881570e-02
[repeat 6/10] eval r=32: sample_error=1.174698e-02, bias=1.731661e-03, fluct=1.170011e-02
[repeat 6/10] eval r=64: sample_error=3.683834e-03, bias=2.137664e-04, fluct=3.697585e-03
[repeat 6/10] eval r=48: sample_error=6.030582e-03, bias=5.083440e-04, fluct=6.024013e-03
[repeat 6/10] eval r=40: sample_error=8.166453e-03, bias=8.812868e-04, fluct=8.031514e-03
[repeat 6/10] eval r=36: sample_error=1.020041e-02, bias=1.211935e-03, fluct=1.018191e-02
[repeat 6/10] eval r=38: sample_error=8.125603e-03, bias=1.029077e-03, fluct=8.003395e-03
[repeat 6/10] eval r=37: sample_error=9.468497e-03, bias=1.115516e-03, fluct=9.326530e-03
[repeat 6/10] eval r=24: sample_error=2.146475e-02, bias=4.158628e-03, fluct=2.114869e-02
[repeat 6/10] eval r=20: sample_error=2.731529e-02, bias=7.281246e-03, fluct=2.687600e-02
[repeat 6/10] eval r=18: sample_error=3.257090e-02, bias=1.008932e-02, fluct=3.128609e-02
[repeat 6/10] eval r=19: sample_error=3.252951e-02, bias=8.532067e-03, fluct=3.212247e-02
[repeat 6/10] sampled_r_min=37, expected_r_min=19, current mean=36.667, 95% CI=[35.360, 37.973]
[repeat 7/10] eval r=1: sample_error=5.160946e+01, bias=4.817370e+01, fluct=1.189397e+01
[repeat 7/10] eval r=2: sample_error=6.879680e+01, bias=3.707258e+01, fluct=6.034165e+01
[repeat 7/10] eval r=4: sample_error=3.805043e+01, bias=2.484392e+00, fluct=3.804158e+01
[repeat 7/10] eval r=8: sample_error=5.399618e-01, bias=1.422313e-01, fluct=5.423324e-01
[repeat 7/10] eval r=16: sample_error=5.045782e-02, bias=1.456939e-02, fluct=4.896192e-02
[repeat 7/10] eval r=32: sample_error=1.293908e-02, bias=1.731661e-03, fluct=1.284106e-02
[repeat 7/10] eval r=64: sample_error=4.140362e-03, bias=2.137664e-04, fluct=4.140135e-03
[repeat 7/10] eval r=48: sample_error=7.056826e-03, bias=5.083440e-04, fluct=7.051073e-03
[repeat 7/10] eval r=40: sample_error=8.225377e-03, bias=8.812868e-04, fluct=8.134373e-03
[repeat 7/10] eval r=36: sample_error=1.012927e-02, bias=1.211935e-03, fluct=1.008226e-02
[repeat 7/10] eval r=38: sample_error=7.775433e-03, bias=1.029077e-03, fluct=7.751322e-03
[repeat 7/10] eval r=37: sample_error=9.896764e-03, bias=1.115516e-03, fluct=9.901206e-03
[repeat 7/10] eval r=24: sample_error=2.114331e-02, bias=4.158628e-03, fluct=2.042629e-02
[repeat 7/10] eval r=20: sample_error=3.114057e-02, bias=7.281246e-03, fluct=3.128432e-02
[repeat 7/10] eval r=18: sample_error=3.544689e-02, bias=1.008932e-02, fluct=3.520397e-02
[repeat 7/10] eval r=19: sample_error=3.680667e-02, bias=8.532067e-03, fluct=3.559687e-02
